Property Name,Address,Phone Number,Website,Property Mgmt Company,Mgmt Phone,Mgmt Email,Mgmt Address,Leasing Agent,Agent Phone,Agent Email,Agent Address,Agent Website
East Coast Logistics,"6030 Commerce Blvd, Garden City, GA 31408",(912) 964-0994,eastcoast-logistics.com,N/A,N/A (private),Via website,"250 Vesey St, New York, NY 10281",Cushman & Wakefield (Gilbert & Ezelle),(912) 236-8992,Via website,"820 Abercorn St, Savannah, GA 31401",gilbertezelle.com
DSI Logistics,"1 Birkenhead Rd, Port Wentworth, GA 31407",(912) 964-0399,dsicompanies.com,N/A,(912) 964-0399,N/A (internal mgmt),"1 Birkenhead Rd, Port Wentworth, GA 31407",Justin Redmond (DSI Logistics),(912) 721-8275,justin.redmond@dsicompanies.com,"1 Birkenhead Rd, Port Wentworth, GA 31407",dsicompanies.com
Dynacraft/CRC Georgia,"1501 Crossgate Rd, Port Wentworth, GA 31407",(800) 551-0032,4rv4cyls.com,"SA Savannah Crossgate 520, LLC",N/A,N/A,"1501 Crossgate Rd, Port Wentworth, GA 31407",Hilary Shipley (Colliers Int'l),(912) 662-8013,hilary.shipley@colliers.com,"545 E York St, Savannah, GA 31401",colliers.com
"CBC Warehouse, LLC","986 Bourne Ave, Garden City, GA 31408",(912) 964-1441,cbwarehouse.com,"CBC Warehouse, LLC",(912) 964-1441,bill@cbcwarehouse.com,"986 Bourne Ave Suite B, Savannah, GA 31408",Owner-managed (CBC Warehouse),N/A,N/A,N/A,cbwarehouse.com
Coastal Empire Tint & Vinyl,"106 Central Jct Blvd Ste C, Savannah, GA 31405",(912) 356-3969,3v3c3cs.com,"Sago Property Management, LLC",(912) 330-2472,kristin@sagopropertymanagement.com,"315 Commercial Dr, Suite B6, Savannah, GA",Sago Property Management,(912) 330-2472,kristin@sagopropertymanagement.com,"315 Commercial Dr, Suite B6, Savannah, GA",sagopropertymanagement.com
Supply Chain Mgmt & Cat Testing Labs,"984 Bourne Ave, Savannah, GA 31408",(912) 964-9999,N/A,Penrod Savannah Warehouse,(912) 963-9962,N/A,"986 Bourne Ave Suite B, Savannah, GA 31408",Penrod Savannah Warehouse,(912) 963-9962,N/A,"986 Bourne Ave Suite B, Savannah, GA 31408",thepenrodcompany.com
Charlie Smith Air Conditioning,"1702 E President St, Savannah, GA 31404",(912) 232-1650,charliesmithac.com,"Charlie Smith Air Conditioning, Inc.",(912) 232-1650,N/A,"110 Central Junction Blvd, Savannah, GA",Owner-occupied,N/A,N/A,N/A,charliesmithac.com
Southern Roof Center,"1410 Mills B Ln Blvd, Savannah, GA 31405",(912) 236-1151,locations.becn.com,Beacon Building Products,(912) 236-1151,contact@becn.com,"1410 Mills B Ln Blvd, Savannah, GA 31405",Owner-occupied (Beacon Roofing),N/A,N/A,N/A,locations.becn.com
Continental Field Systems,"3025 Limerick St, Savannah, GA 31404",(912) 232-8121,cfsusa.net,"Continental Field Systems, Inc.",(912) 232-8121,echristoph@cfsusa.net,"23 Westgate Blvd, Savannah, GA 31405",Owner-occupied,N/A,N/A,N/A,cfsusa.net
SRS Building Products,"23 Westgate Blvd, Savannah, GA 31405",(800) 627-6885,N/A,"CFS Realty Company, LLC",(912) 232-8121,echristoph@cfsusa.net,"23 Westgate Blvd, Savannah, GA 31405","David Sink, SIOR (Colliers Int'l)",(912) 662-8010,david.sink@colliers.com,"545 E York St, Savannah, GA 31401",colliers.com
